,verified,favourites_count,followers_count,friends_count,statuses_count,type
112722561,0,3.0,134.0,1588.0,184.0,2.0
112735370,0,1.0,136.0,92.0,29218.0,2.0
112785031,0,8.0,114.0,177.0,939.0,2.0
112826581,0,13.0,28.0,104.0,332.0,2.0
112845656,0,58.0,301.0,527.0,29999.0,2.0
112858902,0,39.0,57.0,10.0,882.0,2.0
11289652,0,17.0,300.0,306.0,2122.0,2.0
112929401,0,5216.0,325.0,308.0,22101.0,2.0
112993818,0,805.0,635.0,548.0,1998.0,2.0
112993818,0,806.0,637.0,548.0,1998.0,2.0
113015824,0,25.0,428.0,568.0,1522.0,2.0
113030476,0,8.0,219.0,359.0,132.0,2.0
113090920,0,9.0,31.0,86.0,196.0,2.0
113093322,0,43.0,604.0,1769.0,4304.0,2.0
113120715,0,32.0,23.0,98.0,441.0,2.0
113141217,0,7397.0,568.0,431.0,11033.0,2.0
113157625,0,1906.0,970.0,446.0,35708.0,2.0
113187796,0,83.0,57.0,34.0,1114.0,2.0
113188926,0,801.0,1083.0,1199.0,54616.0,2.0
113208467,0,5.0,370.0,1006.0,2207.0,2.0
113210993,0,1901.0,882.0,216.0,38134.0,2.0
113286944,0,207.0,155.0,277.0,11339.0,2.0
113297757,0,22.0,202.0,119.0,407.0,2.0
113344747,0,413.0,166.0,237.0,1058.0,2.0
113417973,0,0.0,30.0,37.0,352.0,2.0
113426088,0,2153.0,59.0,125.0,15304.0,2.0
113444623,0,11082.0,576.0,759.0,17430.0,2.0
113459674,0,88.0,46.0,205.0,800.0,2.0
113479750,0,127.0,131.0,144.0,1373.0,2.0
113519946,0,9.0,1381.0,559.0,14233.0,2.0
113567546,0,66.0,166.0,195.0,1120.0,2.0
113572590,0,80.0,249.0,248.0,3694.0,2.0
113638443,0,2608.0,232.0,360.0,1839.0,2.0
113683863,0,24.0,85.0,157.0,2341.0,2.0
113726026,0,45.0,6191.0,508.0,4060.0,2.0
113730213,0,0.0,1138.0,49.0,357.0,2.0
113762197,0,635.0,45.0,340.0,738.0,2.0
113767002,0,0.0,9.0,75.0,133.0,2.0
113779756,0,0.0,25.0,90.0,207.0,2.0
113885268,0,1.0,6.0,6.0,276.0,2.0
113947556,0,0.0,592.0,731.0,113.0,2.0
113964642,0,154.0,180.0,157.0,445.0,2.0
113966298,0,1958.0,354.0,76.0,8880.0,2.0
113976963,0,32.0,757.0,2001.0,1262.0,2.0
113992314,0,3.0,101.0,190.0,2431.0,2.0
113993009,0,0.0,383.0,335.0,220.0,2.0
114006657,0,78.0,481.0,831.0,15814.0,2.0
114030541,0,1086.0,139.0,153.0,1765.0,2.0
114036099,0,105.0,10218.0,2750.0,28507.0,2.0
114118354,0,235.0,416.0,45.0,6957.0,2.0
114132607,0,841.0,28.0,69.0,5094.0,2.0
114170696,0,2072.0,818.0,958.0,9221.0,2.0
114179719,0,7.0,178.0,325.0,961.0,2.0
114218276,0,909.0,513.0,759.0,14461.0,2.0
114226256,0,5196.0,505.0,228.0,33110.0,2.0
114319090,0,0.0,116.0,133.0,677.0,2.0
114350646,0,125.0,232.0,156.0,8775.0,2.0
114471487,0,8.0,14455.0,513.0,15443.0,2.0
11449492,0,1.0,12.0,36.0,225.0,2.0
114522543,0,11.0,55.0,120.0,974.0,2.0
114537667,0,765.0,139.0,266.0,486.0,2.0
114541409,0,1.0,470.0,1535.0,129.0,2.0
114553095,0,0.0,575.0,1037.0,449.0,2.0
114555701,0,1065.0,178.0,263.0,1685.0,2.0
114556661,0,0.0,220.0,211.0,2093.0,2.0
114557892,0,0.0,24.0,43.0,295.0,2.0
114558701,0,13.0,23677.0,142.0,11297.0,2.0
114591487,0,74.0,25.0,132.0,346.0,2.0
114597247,0,964.0,591.0,827.0,8997.0,2.0
114630343,0,11.0,24.0,33.0,193.0,2.0
114635576,0,1.0,126.0,196.0,3503.0,2.0
114656078,0,2.0,81.0,101.0,1150.0,2.0
114676880,0,9416.0,2989.0,1803.0,27752.0,2.0
114694145,0,9.0,143.0,292.0,2148.0,2.0
114728092,0,3.0,33.0,41.0,5473.0,2.0
114766161,0,108.0,105.0,367.0,585.0,2.0
114792188,0,99.0,68.0,71.0,3713.0,2.0
114845490,0,873.0,370.0,531.0,61981.0,2.0
114853569,0,696.0,281.0,65.0,14693.0,2.0
114871520,0,621.0,423.0,1065.0,32055.0,2.0
